# SEED TABLE — approximate, widely-cited shares of global MINED production (%).
#
# Provenance: round figures consistent with USGS Mineral Commodity Summaries
# (recent editions) and standard industry references. They are adequate for
# exercising the concentration computation and for ordering commodities by
# structure. They are NOT research-grade and carry no vintage.
#
# BEFORE CITING ANY NUMBER DERIVED FROM THIS FILE: replace it with a table
# parsed from a specific USGS MCS edition and record that edition here.
# Production shares move year to year; cobalt and bauxite in particular have
# shifted materially with Indonesian and Guinean capacity.
#
# Shares need not sum to 100 — concentration.py adds a "Rest of world" residual
# so that an incomplete tail does not overstate HHI.
commodity,country,share_pct
cobalt,DR Congo,70
cobalt,Indonesia,10
cobalt,Russia,4
cobalt,Australia,3
cobalt,Philippines,3
cobalt,Canada,3
platinum,South Africa,70
platinum,Russia,10
platinum,Zimbabwe,8
platinum,Canada,3
platinum,United States,2
palladium,Russia,40
palladium,South Africa,35
palladium,Canada,9
palladium,United States,5
palladium,Zimbabwe,5
chromium,South Africa,45
chromium,Turkey,20
chromium,Kazakhstan,15
chromium,India,10
manganese,South Africa,35
manganese,Gabon,20
manganese,Australia,15
manganese,Ghana,5
manganese,China,5
bauxite,Australia,28
bauxite,Guinea,22
bauxite,China,18
bauxite,Brazil,9
bauxite,India,7
copper,Chile,24
copper,Peru,10
copper,DR Congo,10
copper,China,8
copper,United States,6
copper,Zambia,4
gold,China,10
gold,Russia,9
gold,Australia,9
gold,Canada,6
gold,United States,5
gold,Ghana,4
gold,South Africa,3
gold,Mali,2
uranium,Kazakhstan,43
uranium,Canada,13
uranium,Namibia,11
uranium,Australia,9
uranium,Niger,4
diamonds,Russia,30
diamonds,Botswana,20
diamonds,DR Congo,12
diamonds,Canada,11
diamonds,Angola,9
diamonds,South Africa,7
